"Name","DisplayName","Enabled","Direction","Action","Profile","InterfaceType"
"NETDIS-FDPHOST-Out-UDP","Network Discovery (WSD-Out)","True","Outbound","Allow","Domain, Public",
"NETDIS-WSDEVNT-In-TCP","Network Discovery (WSD Events-In)","True","Inbound","Allow","Public",
"WFDPRINT-DAFWSD-In-Active","Wi-Fi Direct Network Discovery (In)","True","Inbound","Allow","Public",
"CoreNet-ICMP6-NDS-Out","Core Networking - Neighbor Discovery Solicitation (ICMPv6-Out)","True","Outbound","Allow","Any",
"Collab-PNRP-Out-UDP","Windows Peer to Peer Collaboration Foundation (PNRP-Out)","False","Outbound","Allow","Any",
"WirelessDisplay-In-TCP","Wireless Display (TCP-In)","True","Inbound","Allow","Any",
"PNRPMNRS-SSDPSrv-In-UDP","Windows Collaboration Computer Name Registration Service (SSDP-In)","False","Inbound","Allow","Any",
"MCX-PlayTo-In-TCP","Media Center Extenders - Media Streaming (TCP-In)","False","Inbound","Allow","Any",
"NETDIS-UPnPHost-In-TCP-NoScope","Network Discovery (UPnP-In)","True","Inbound","Allow","Domain",
"Microsoft-Windows-PeerDist-HttpTrans-Out","BranchCache Content Retrieval (HTTP-Out)","False","Outbound","Allow","Any",
"RemoteDesktop-UserMode-In-TCP","Remote Desktop - User Mode (TCP-In)","False","Inbound","Allow","Any",
"RemoteDesktop-UserMode-In-UDP","Remote Desktop - User Mode (UDP-In)","False","Inbound","Allow","Any",
"PerfLogsAlerts-DCOM-In-TCP","Performance Logs and Alerts (DCOM-In)","False","Inbound","Allow","Private, Public",
"CoreNet-IPv6-Out","Core Networking - IPv6 (IPv6-Out)","True","Outbound","Allow","Any",
"MCX-SSDPSrv-Out-UDP","Media Center Extenders - SSDP (UDP-Out)","False","Outbound","Allow","Any",
"MCX-PlayTo-Out-TCP","Media Center Extenders - Media Streaming (TCP-Out)","False","Outbound","Allow","Any",
"NETDIS-WSDEVNTS-Out-TCP-Active","Network Discovery (WSD EventsSecure-Out)","True","Outbound","Allow","Private",
"RemoteEventLogSvc-RPCSS-In-TCP","Remote Event Log Management (RPC-EPMAP)","False","Inbound","Allow","Private, Public",
"CoreNet-Diag-ICMP6-EchoRequest-Out-NoScope","Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out)","False","Outbound","Allow","Domain",
"WMI-RPCSS-In-TCP-NoScope","Windows Management Instrumentation (DCOM-In)","False","Inbound","Allow","Domain",
"ProximityUxHost-Sharing-In-TCP-NoScope","Proximity sharing over TCP (TCP sharing-In)","True","Inbound","Allow","Any",
"RemoteAssistance-SSDPSrv-In-TCP-Active","Remote Assistance (SSDP TCP-In)","True","Inbound","Allow","Domain, Private",
"MSDTC-KTMRM-In-TCP-NoScope","Distributed Transaction Coordinator (RPC)","False","Inbound","Allow","Domain",
"PlayTo-HTTPSTR-In-TCP-NoScope","Cast to Device streaming server (HTTP-Streaming-In)","True","Inbound","Allow","Domain",
"PlayTo-HTTPSTR-In-TCP-PlayToScope","Cast to Device streaming server (HTTP-Streaming-In)","True","Inbound","Allow","Public",
"MsiScsi-Out-TCP-NoScope","iSCSI Service (TCP-Out)","False","Outbound","Allow","Domain",
"NETDIS-FDRESPUB-WSD-In-UDP","Network Discovery (Pub-WSD-In)","True","Inbound","Allow","Domain, Public",
"CoreNet-IGMP-In","Core Networking - Internet Group Management Protocol (IGMP-In)","True","Inbound","Allow","Any",
"CoreNet-GP-NP-Out-TCP","Core Networking - Group Policy (NP-Out)","True","Outbound","Allow","Domain",
"WMI-WINMGMT-In-TCP-NoScope","Windows Management Instrumentation (WMI-In)","False","Inbound","Allow","Domain",
"PlayTo-In-RTSP-PlayToScope","Cast to Device streaming server (RTSP-Streaming-In)","True","Inbound","Allow","Public",
"CoreNet-ICMP6-LR2-In","Core Networking - Multicast Listener Report v2 (ICMPv6-In)","True","Inbound","Allow","Any",
"RVM-VDSLDR-In-TCP-NoScope","Remote Volume Management - Virtual Disk Service Loader (RPC)","False","Inbound","Allow","Domain",
"NETDIS-FDPHOST-Out-UDP-Active","Network Discovery (WSD-Out)","True","Outbound","Allow","Private",
"NETDIS-FDPHOST-In-UDP","Network Discovery (WSD-In)","True","Inbound","Allow","Domain, Public",
"RemoteEventLogSvc-In-TCP-NoScope","Remote Event Log Management (RPC)","False","Inbound","Allow","Domain",
"CoreNet-ICMP6-LQ-In","Core Networking - Multicast Listener Query (ICMPv6-In)","True","Inbound","Allow","Any",
"Collab-PNRP-SSDPSrv-In-UDP","Windows Peer to Peer Collaboration Foundation (SSDP-In)","False","Inbound","Allow","Any",
"Microsoft-Windows-DeviceManagement-OmaDmClient-TCP-Out","Windows Device Management Sync Client (TCP out)","True","Outbound","Allow","Any",
"CoreNet-ICMP6-LR-In","Core Networking - Multicast Listener Report (ICMPv6-In)","True","Inbound","Allow","Any",
"CoreNet-Diag-ICMP4-EchoRequest-In-NoScope","Core Networking Diagnostics - ICMP Echo Request (ICMPv4-In)","False","Inbound","Allow","Domain",
"SSTP-IN-TCP","Secure Socket Tunneling Protocol (SSTP-In)","False","Inbound","Allow","Any",
"DIAL-Protocol-Server-HTTPSTR-In-TCP-LocalSubnetScope","DIAL protocol server (HTTP-In)","True","Inbound","Allow","Private",
"Microsoft-Windows-PeerDist-HttpTrans-In","BranchCache Content Retrieval (HTTP-In)","False","Inbound","Allow","Any",
"MSDTC-In-TCP","Distributed Transaction Coordinator (TCP-In)","False","Inbound","Allow","Private, Public",
"CoreNet-DHCPV6-Out","Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-Out)","True","Outbound","Allow","Any",
"RVM-VDS-In-TCP-NoScope","Remote Volume Management - Virtual Disk Service (RPC)","False","Inbound","Allow","Domain",
"WMI-WINMGMT-Out-TCP-NoScope","Windows Management Instrumentation (WMI-Out)","False","Outbound","Allow","Domain",
"Netlogon-TCP-RPC-In","Netlogon Service Authz (RPC)","False","Inbound","Allow","Any",
"CoreNet-ICMP6-TE-In","Core Networking - Time Exceeded (ICMPv6-In)","True","Inbound","Allow","Any",
"MDNS-In-UDP-Domain-Active","mDNS (UDP-In)","True","Inbound","Allow","Domain",
"Collab-P2PHost-In-TCP","Windows Peer to Peer Collaboration Foundation (TCP-In)","False","Inbound","Allow","Any",
"RemoteAssistance-In-TCP-EdgeScope-Active","Remote Assistance (TCP-In)","True","Inbound","Allow","Domain, Private",
"NETDIS-UPnP-Out-TCP-Active","Network Discovery (UPnPHost-Out)","True","Outbound","Allow","Private",
"Microsoft-Windows-PeerDist-WSD-Out","BranchCache Peer Discovery (WSD-Out)","False","Outbound","Allow","Any",
"CoreNet-Diag-ICMP4-EchoRequest-In","Core Networking Diagnostics - ICMP Echo Request (ICMPv4-In)","False","Inbound","Allow","Private, Public",
"WINRM-HTTP-Compat-In-TCP-NoScope","Windows Remote Management - Compatibility Mode (HTTP-In)","False","Inbound","Allow","Domain",
"NETDIS-NB_Name-Out-UDP-Active","Network Discovery (NB-Name-Out)","True","Outbound","Allow","Private",
"RRAS-GRE-Out","Routing and Remote Access (GRE-Out)","False","Outbound","Allow","Any",
"MSDTC-In-TCP-NoScope","Distributed Transaction Coordinator (TCP-In)","False","Inbound","Allow","Domain",
"NETDIS-NB_Name-Out-UDP-NoScope","Network Discovery (NB-Name-Out)","True","Outbound","Allow","Domain",
"CoreNet-GP-Out-TCP","Core Networking - Group Policy (TCP-Out)","True","Outbound","Allow","Domain",
"CoreNet-Diag-ICMP6-EchoRequest-In-NoScope","Core Networking Diagnostics - ICMP Echo Request (ICMPv6-In)","False","Inbound","Allow","Domain",
"MDNS-In-UDP-Public-Active","mDNS (UDP-In)","True","Inbound","Allow","Public",
"MCX-QWave-In-TCP","Media Center Extenders - qWave (TCP-In)","False","Inbound","Allow","Any",
"WMPNSS-WMP-Out-TCP","Windows Media Player Network Sharing Service (Streaming-TCP-Out)","False","Outbound","Allow","Private, Public",
"WMP-In-UDP","Windows Media Player (UDP-In)","False","Inbound","Allow","Any",
"WMPNSS-QWave-In-TCP","Windows Media Player Network Sharing Service (qWave-TCP-In)","False","Inbound","Allow","Private, Public",
"WMPNSS-QWave-In-UDP","Windows Media Player Network Sharing Service (qWave-UDP-In)","False","Inbound","Allow","Private, Public",
"WMPNSS-UPnPHost-In-TCP","Windows Media Player Network Sharing Service (UPnP-In)","False","Inbound","Allow","Any",
"WMPNSS-WMP-Out-UDP-NoScope","Windows Media Player Network Sharing Service (Streaming-UDP-Out)","False","Outbound","Allow","Domain",
"WMPNSS-UPnP-Out-TCP","Windows Media Player Network Sharing Service (UPnPHost-Out)","False","Outbound","Allow","Any",
"WMPNSS-In-UDP-NoScope","Windows Media Player Network Sharing Service (UDP-In)","False","Inbound","Allow","Domain",
"WMPNSS-In-TCP-NoScope","Windows Media Player Network Sharing Service (TCP-In)","False","Inbound","Allow","Domain",
"WMPNSS-QWave-In-TCP-NoScope","Windows Media Player Network Sharing Service (qWave-TCP-In)","False","Inbound","Allow","Domain",
"WMP-In-UDP-x86","Windows Media Player x86 (UDP-In)","False","Inbound","Allow","Any",
"WMPNSS-In-UDP","Windows Media Player Network Sharing Service (UDP-In)","False","Inbound","Allow","Private, Public",
"WMPNSS-In-TCP","Windows Media Player Network Sharing Service (TCP-In)","False","Inbound","Allow","Private, Public",
"WMPNSS-WMP-In-UDP-NoScope","Windows Media Player Network Sharing Service (Streaming-UDP-In)","False","Inbound","Allow","Domain",
"WMPNSS-HTTPSTR-Out-TCP-NoScope","Windows Media Player Network Sharing Service (HTTP-Streaming-Out)","False","Outbound","Allow","Domain",
"WMPNSS-WMP-In-UDP","Windows Media Player Network Sharing Service (Streaming-UDP-In)","False","Inbound","Allow","Private, Public",
"WMPNSS-SSDPSrv-Out-UDP","Windows Media Player Network Sharing Service (SSDP-Out)","False","Outbound","Allow","Any",
"WMPNSS-QWave-Out-TCP","Windows Media Player Network Sharing Service (qWave-TCP-Out)","False","Outbound","Allow","Private, Public",
"WMPNSS-WMP-Out-TCP-NoScope","Windows Media Player Network Sharing Service (Streaming-TCP-Out)","False","Outbound","Allow","Domain",
"FPSSMBD-iWARP-In-TCP","File and Printer Sharing over SMBDirect (iWARP-In)","False","Inbound","Allow","Any",
"WMPNSS-UPnPHost-Out-TCP","Windows Media Player Network Sharing Service (UPnP-Out)","False","Outbound","Allow","Any",
"WMPNSS-SSDPSrv-In-UDP","Windows Media Player Network Sharing Service (SSDP-In)","False","Inbound","Allow","Any",
"WMPNSS-HTTPSTR-Out-TCP","Windows Media Player Network Sharing Service (HTTP-Streaming-Out)","False","Outbound","Allow","Private, Public",
"WMPNSS-Out-UDP","Windows Media Player Network Sharing Service (UDP-Out)","False","Outbound","Allow","Private, Public",
"WMPNSS-HTTPSTR-In-TCP","Windows Media Player Network Sharing Service (HTTP-Streaming-In)","False","Inbound","Allow","Private, Public",
"WMPNSS-QWave-Out-UDP","Windows Media Player Network Sharing Service (qWave-UDP-Out)","False","Outbound","Allow","Private, Public",
"WMPNSS-QWave-Out-UDP-NoScope","Windows Media Player Network Sharing Service (qWave-UDP-Out)","False","Outbound","Allow","Domain",
"WMPNSS-QWave-Out-TCP-NoScope","Windows Media Player Network Sharing Service (qWave-TCP-Out)","False","Outbound","Allow","Domain",
"WMPNSS-Out-TCP","Windows Media Player Network Sharing Service (TCP-Out)","False","Outbound","Allow","Private, Public",
"WMPNSS-Out-UDP-NoScope","Windows Media Player Network Sharing Service (UDP-Out)","False","Outbound","Allow","Domain",
"WMP-Out-TCP-x86","Windows Media Player x86 (TCP-Out)","False","Outbound","Allow","Any",
"WMP-Out-UDP-x86","Windows Media Player x86 (UDP-Out)","False","Outbound","Allow","Any",
"WMPNSS-WMP-Out-UDP","Windows Media Player Network Sharing Service (Streaming-UDP-Out)","False","Outbound","Allow","Private, Public",
"WMPNSS-HTTPSTR-In-TCP-NoScope","Windows Media Player Network Sharing Service (HTTP-Streaming-In)","False","Inbound","Allow","Domain",
"WMP-Out-UDP","Windows Media Player (UDP-Out)","False","Outbound","Allow","Any",
"WMP-Out-TCP","Windows Media Player (TCP-Out)","False","Outbound","Allow","Any",
"WMPNSS-QWave-In-UDP-NoScope","Windows Media Player Network Sharing Service (qWave-UDP-In)","False","Inbound","Allow","Domain",
"WMPNSS-Out-TCP-NoScope","Windows Media Player Network Sharing Service (TCP-Out)","False","Outbound","Allow","Domain",
"Microsoft.AccountsControl_cw5n1h2txyewy-Out-Allow-AllCapabilities","Email and accounts","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.Win32WebViewHost_cw5n1h2txyewy-Out-Allow-AllCapabilities","Desktop App Web Viewer","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.Win32WebViewHost_cw5n1h2txyewy-In-Allow-ServerCapability","Desktop App Web Viewer","True","Inbound","Allow","Domain, Private, Public",
"Microsoft.Windows.Apprep.ChxApp_cw5n1h2txyewy-Out-Allow-AllCapabilities","Windows Defender SmartScreen","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy-Out-Allow-AllCapabilities","Your account","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy-In-Allow-ServerCapability","Your account","True","Inbound","Allow","Domain, Private",
"Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy-Out-Allow-AllCapabilities","Microsoft Content","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.Windows.ParentalControls_cw5n1h2txyewy-Out-Allow-AllCapabilities","Microsoft Family Safety","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.Windows.PeopleExperienceHost_cw5n1h2txyewy-Out-Allow-AllCapabilities","Windows Shell Experience","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.Windows.PrintQueueActionCenter_cw5n1h2txyewy-Out-Allow-AllCapabilities","Print Queue","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.Windows.SecureAssessmentBrowser_cw5n1h2txyewy-Out-Allow-AllCapabilities","Take a Test","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.XboxGameCallableUI_cw5n1h2txyewy-Out-Allow-AllCapabilities","Xbox Game UI","True","Outbound","Allow","Domain, Private, Public",
"MicrosoftWindows.Client.FileExp_cw5n1h2txyewy-Out-Allow-AllCapabilities","Windows Feature Experience Pack","True","Outbound","Allow","Domain, Private, Public",
"MicrosoftWindows.Client.Photon_cw5n1h2txyewy-Out-Allow-AllCapabilities","Windows Feature Experience Pack","True","Outbound","Allow","Domain, Private, Public",
"MicrosoftWindows.Client.Photon_cw5n1h2txyewy-In-Allow-ServerCapability","Windows Feature Experience Pack","True","Inbound","Allow","Domain, Private",
"Windows.PrintDialog_cw5n1h2txyewy-Out-Allow-AllCapabilities","Windows Print","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.XboxIdentityProvider_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Xbox Identity Provider","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.Windows.NarratorQuickStart_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Narrator","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.People_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Microsoft People","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.Xbox.TCUI_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Xbox TCUI","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.GetHelp_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Get Help","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.BingWeather_8wekyb3d8bbwe-Out-Allow-AllCapabilities","MSN Weather","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.BingWeather_8wekyb3d8bbwe-In-Allow-ServerCapability","MSN Weather","True","Inbound","Allow","Domain, Private",
"Microsoft.BingNews_8wekyb3d8bbwe-Out-Allow-AllCapabilities","News","True","Outbound","Allow","Domain, Private, Public",
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware_0a9344xs7nr4m-Out-Allow-AllCapabilities","AMD Radeon Software","True","Outbound","Allow","Domain, Private, Public",
"{BAC39A75-32B2-4B7C-BA65-6769995C4A0F}","Unity 6000.0.37f1 Editor","True","Inbound","Allow","Domain",
"{61561471-07CB-4D7F-BF16-6BC69043D1D6}","Unity 6000.0.37f1 Editor","True","Inbound","Block","Public",
"TCP Query User{FC6A9F81-17C5-42B9-A01A-E1592ACB9643}C:\program files\nodejs\node.exe","Node.js JavaScript Runtime","True","Inbound","Allow","Public",
"UDP Query User{F0CEA99A-F617-4356-8006-597F770FB8E3}C:\program files\nodejs\node.exe","Node.js JavaScript Runtime","True","Inbound","Allow","Public",
"MicrosoftCorporationII.WindowsSubsystemForLinux_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Windows Subsystem for Linux","True","Outbound","Allow","Domain, Private, Public",
"{4BE6635A-9197-4EAB-9CDD-4EF62682D4DA}","Teamviewer Remote Control Application","True","Inbound","Allow","Public",
"{615B5917-CC51-48D4-AD26-34381504BBFE}","Teamviewer Remote Control Application","True","Inbound","Allow","Public",
"{EF4B0FFD-BF2C-402C-9666-15EFD1E3DBED}","Teamviewer Remote Control Service","True","Inbound","Allow","Public",
"{2FB9328C-3A68-4D6E-8645-F036F9B19A83}","Teamviewer Remote Control Service","True","Inbound","Allow","Public",
"{ADD1EAAB-7C9B-4476-B9CC-B9B0E4A34413}","Microsoft Lync","True","Inbound","Allow","Public",
"{95D79E7F-7375-44BA-87D6-5580BF07E6E7}","Microsoft Lync UcMapi","True","Inbound","Allow","Public",
"TCP Query User{E8DDA429-2B7E-4ADF-AB35-D526AE406EEB}C:\program files\windowsapps\pythonsoftwarefoundation.python.3.13_3.13.752.0_x64__qbz5n2kfra8p0\python3.13.exe","Python","True","Inbound","Allow","Public",
"UDP Query User{AF5DE05B-3BD8-4C53-8C59-1D912924F317}C:\program files\windowsapps\pythonsoftwarefoundation.python.3.13_3.13.752.0_x64__qbz5n2kfra8p0\python3.13.exe","Python","True","Inbound","Allow","Public",
"TCP Query User{DD0125CB-2FA8-4FE2-876E-E54E92DCE77E}C:\users\altha\appdata\local\programs\microsoft vs code\code.exe","Visual Studio Code","True","Inbound","Allow","Public",
"UDP Query User{437E46EC-1629-429E-A615-B5460C778A81}C:\users\altha\appdata\local\programs\microsoft vs code\code.exe","Visual Studio Code","True","Inbound","Allow","Public",
"TCP Query User{E2FDDDDD-B49A-4478-B56D-EDB206B0E2CA}C:\users\altha\downloads\anydesk.exe","anydesk.exe","True","Inbound","Allow","Public",
"UDP Query User{E91623C3-95E5-4F49-B6EB-9E57D03A3274}C:\users\altha\downloads\anydesk.exe","anydesk.exe","True","Inbound","Allow","Public",
"{3E67F598-F52D-45AD-93D3-5B3E9E8AC4C1}","Avast UI (TCP-In)","True","Inbound","Allow","Any",
"{0C012DD6-679F-4D84-98C2-A33178FA5E9A}","Avast UI (UDP-In)","True","Inbound","Allow","Any",
"Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy-Out-Allow-AllCapabilities","Work or school account","True","Outbound","Allow","Domain, Private, Public",
"Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy-In-Allow-ServerCapability","Work or school account","True","Inbound","Allow","Domain, Private",
"WiFiDirect-KM-Driver-Out-UDP","WFD Driver-only (UDP-Out)","True","Outbound","Allow","Any",
"Wininit-Shutdown-In-Rule-TCP-RPC","Inbound Rule for Remote Shutdown (TCP-In)","False","Inbound","Allow","Any",
"Microsoft-Windows-WLANSvc-ASP-CP-In","WFD ASP Coordination Protocol (UDP-In)","True","Inbound","Allow","Any",
"WiFiDirect-KM-Driver-In-TCP","WFD Driver-only (TCP-In)","True","Inbound","Allow","Any",
"WiFiDirect-KM-Driver-Out-TCP","WFD Driver-only (TCP-Out)","True","Outbound","Allow","Any",
"Wininit-Shutdown-In-Rule-TCP-RPC-EPMapper","Inbound Rule for Remote Shutdown (RPC-EP-In)","False","Inbound","Allow","Any",
"Microsoft-Windows-WLANSvc-ASP-CP-Out","WFD ASP Coordination Protocol (UDP-Out)","True","Outbound","Allow","Any",
"WiFiDirect-KM-Driver-In-UDP","WFD Driver-only (UDP-In)","True","Inbound","Allow","Any",
"{1AADA06B-3DC6-48D6-8875-32C0F78052C2}","Port 5000","True","Inbound","Allow","Any",
"{0FF19E3F-B038-4D55-91CC-DE365464E19D}","Port 33060","True","Inbound","Allow","Any",
"{96DFB8CE-7E8E-4B7C-A3FF-FEB522EC9BD8}","EaseUS Data Recovery Wizard in","True","Inbound","Allow","Any",
"{CFBBD344-23B1-4F8E-A704-7B6F8B5457CE}","EaseUS Data Recovery Wizard out","True","Outbound","Allow","Any",
"{E5E6FEEC-0534-424D-A6F4-6EC1B83BB20D}","MySQL","True","Inbound","Allow","Any",
"Microsoft.WindowsCalculator_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Windows Calculator","True","Outbound","Allow","Domain, Private, Public",
"FPS-RPCSS-In-TCP-NoScope","File and Printer Sharing (Spooler Service - RPC-EPMAP)","False","Inbound","Allow","Domain",
"FPS-SpoolSvc-In-TCP-NoScope","File and Printer Sharing (Spooler Service - RPC)","False","Inbound","Allow","Domain",
"FPS-ICMP6-ERQ-Out-V2","File and Printer Sharing (Restrictive) (Echo Request - ICMPv6-Out)","False","Outbound","Allow","Any",
"FPS-NB_Session-In-TCP-NoScope","File and Printer Sharing (NB-Session-In)","False","Inbound","Allow","Domain",
"FPS-NB_Datagram-Out-UDP-NoScope","File and Printer Sharing (NB-Datagram-Out)","False","Outbound","Allow","Domain",
"FPS-SpoolSvc-In-TCP","File and Printer Sharing (Spooler Service - RPC)","False","Inbound","Allow","Private, Public",
"FPS-ICMP4-ERQ-Out","File and Printer Sharing (Echo Request - ICMPv4-Out)","False","Outbound","Allow","Private, Public",
"FPS-NB_Name-Out-UDP-NoScope","File and Printer Sharing (NB-Name-Out)","False","Outbound","Allow","Domain",
"FPS-SMB-Out-TCP","File and Printer Sharing (SMB-Out)","False","Outbound","Allow","Private, Public",
"FPS-ICMP4-ERQ-Out-NoScope","File and Printer Sharing (Echo Request - ICMPv4-Out)","False","Outbound","Allow","Domain",
"FPS-SMB-Out-TCP-NoScope","File and Printer Sharing (SMB-Out)","False","Outbound","Allow","Domain",
"FPS-SMB-In-TCP-V2","File and Printer Sharing (Restrictive) (SMB-In)","False","Inbound","Allow","Any",
"FPS-SpoolWorker-In-TCP","File and Printer Sharing (Spooler Service Worker - RPC)","False","Inbound","Allow","Private, Public",
"FPS-NB_Datagram-In-UDP-NoScope","File and Printer Sharing (NB-Datagram-In)","False","Inbound","Allow","Domain",
"FPS-NB_Name-In-UDP","File and Printer Sharing (NB-Name-In)","False","Inbound","Allow","Private, Public",
"FPS-NB_Session-Out-TCP","File and Printer Sharing (NB-Session-Out)","False","Outbound","Allow","Private, Public",
"FPS-LLMNR-In-UDP-V2","File and Printer Sharing (Restrictive) (LLMNR-UDP-In)","False","Inbound","Allow","Any",
"FPS-LLMNR-Out-UDP-V2","File and Printer Sharing (Restrictive) (LLMNR-UDP-Out)","False","Outbound","Allow","Any",
"FPS-RPCSS-In-TCP","File and Printer Sharing (Spooler Service - RPC-EPMAP)","False","Inbound","Allow","Private, Public",
"FPS-ICMP6-ERQ-Out","File and Printer Sharing (Echo Request - ICMPv6-Out)","False","Outbound","Allow","Private, Public",
"FPS-NB_Name-In-UDP-NoScope","File and Printer Sharing (NB-Name-In)","False","Inbound","Allow","Domain",
"FPS-SpoolSvc-In-TCP-V2","File and Printer Sharing (Restrictive) (Spooler Service - RPC)","False","Inbound","Allow","Any",
"FPS-NB_Session-In-TCP","File and Printer Sharing (NB-Session-In)","False","Inbound","Allow","Private, Public",
"FPS-ICMP4-ERQ-In","File and Printer Sharing (Echo Request - ICMPv4-In)","False","Inbound","Allow","Private, Public",
"FPS-SpoolWorker-In-TCP-V2","File and Printer Sharing (Restrictive) (Spooler Service Worker - RPC)","False","Inbound","Allow","Any",
"FPS-SMB-In-TCP","File and Printer Sharing (SMB-In)","False","Inbound","Allow","Private, Public",
"FPS-SMB-Out-TCP-V2","File and Printer Sharing (Restrictive) (SMB-Out)","False","Outbound","Allow","Any",
"FPS-SMB-In-TCP-NoScope","File and Printer Sharing (SMB-In)","False","Inbound","Allow","Domain",
"FPS-ICMP6-ERQ-Out-NoScope","File and Printer Sharing (Echo Request - ICMPv6-Out)","False","Outbound","Allow","Domain",
"FPS-SpoolWorker-In-TCP-NoScope","File and Printer Sharing (Spooler Service Worker - RPC)","False","Inbound","Allow","Domain",
"FPS-ICMP4-ERQ-In-V2","File and Printer Sharing (Restrictive) (Echo Request - ICMPv4-In)","False","Inbound","Allow","Any",
"FPS-NB_Datagram-Out-UDP","File and Printer Sharing (NB-Datagram-Out)","False","Outbound","Allow","Private, Public",
"FPS-NB_Session-Out-TCP-NoScope","File and Printer Sharing (NB-Session-Out)","False","Outbound","Allow","Domain",
"FPS-ICMP6-ERQ-In","File and Printer Sharing (Echo Request - ICMPv6-In)","False","Inbound","Allow","Private, Public",
"FPS-ICMP4-ERQ-Out-V2","File and Printer Sharing (Restrictive) (Echo Request - ICMPv4-Out)","False","Outbound","Allow","Any",
"FPS-RPCSS-In-TCP-V2","File and Printer Sharing (Restrictive) (Spooler Service - RPC-EPMAP)","False","Inbound","Allow","Any",
"FPS-ICMP6-ERQ-In-NoScope","File and Printer Sharing (Echo Request - ICMPv6-In)","False","Inbound","Allow","Domain",
"FPS-NB_Name-Out-UDP","File and Printer Sharing (NB-Name-Out)","False","Outbound","Allow","Private, Public",
"FPS-NB_Datagram-In-UDP","File and Printer Sharing (NB-Datagram-In)","False","Inbound","Allow","Private, Public",
"FPS-ICMP4-ERQ-In-NoScope","File and Printer Sharing (Echo Request - ICMPv4-In)","False","Inbound","Allow","Domain",
"FPS-LLMNR-In-UDP","File and Printer Sharing (LLMNR-UDP-In)","False","Inbound","Allow","Any",
"FPS-LLMNR-Out-UDP","File and Printer Sharing (LLMNR-UDP-Out)","False","Outbound","Allow","Any",
"FPS-ICMP6-ERQ-In-V2","File and Printer Sharing (Restrictive) (Echo Request - ICMPv6-In)","False","Inbound","Allow","Any",
"{54400129-8D97-4950-A1D2-E388AE70F232}","WsToastNotification","True","Inbound","Allow","Any",
"microsoft.windowscommunicationsapps_8wekyb3d8bbwe-Out-Allow-AllCapabilities","Mail and Calendar","True","Outbound","Allow","Domain, Private, Public",
"microsoft.windowscommunicationsapps_8wekyb3d8bbwe-In-Allow-ServerCapability","Mail and Calendar","True","Inbound","Allow","Domain, Private, Public",
"{F6CC4D49-6709-42C2-BF3C-CC34B0042E8F}","Apowersoft Watermark Remover","True","Inbound","Allow","Any",
"{0598D069-F753-44BE-A3B1-9A3F67C077D2}","Apowersoft Watermark Remover","True","Outbound","Allow","Any",
"{C8880EB7-78E9-417A-80E3-666B94DD2B64}","WsToastNotification","True","Inbound","Allow","Any",
"MicrosoftWindows.LKG.AccountsService_cw5n1h2txyewy-Out-Allow-AllCapabilities","@{MicrosoftWindows.LKG.AccountsService_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.AccountsService/Resources/ProductPkgDisplayName}","True","Outbound","Allow","Domain, Private, Public",
"MicrosoftWindows.LKG.DesktopSpotlight_cw5n1h2txyewy-Out-Allow-AllCapabilities","@{MicrosoftWindows.LKG.DesktopSpotlight_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.DesktopSpotlight/Resources/ProductPkgDisplayName}","True","Outbound","Allow","Domain, Private, Public",
